Grade,Selection_Date,Match_Date,Sport,League,Home_Team,Away_Team,Market,Selection,Orginator_Price,Current_Price,Min_Price,Pinnacle
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,1x2,Edinburgh City,4.45,4.45,345,345
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,DNB,Edinburgh City,3.3,3.3,230,234
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,DC,Edinburgh City,2.05,2.05,105,108
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,1H DNB,Edinburgh City,,3,200,200
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,1H DC,Edinburgh City,,1.6,-167,-166
