Grade,Selection_Date,Match_Date,Sport,League,Home_Team,Away_Team,Market,Selection,Orginator_Price,Current_Price,Min_Price,Pinnacle,Betrivers,FanDuel,Draftkings,Caesars,BetMGM,Betonline,BetUS,Hard_Rock,ESPN_BET,Fanatics,Bet365,Bovada,MyBookie,Betano,(___),updated_at,game_id,Selection_ID,Identifier,Parent_ID,Active_Selection,Notes,Colour_coding
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Total Goals,Under 0.5,,9.5,850,,,,,,,,,,,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Total GoalsUnder 0.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Total Goals,Under 2.5,1.85,1.77,-130,,-117,,,-120,-120,,,,-125,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Total GoalsUnder 2.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Asian Total Goals,Under 2.5,1.85,1.77,-130,,,,,,,,,,,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Asian Total GoalsUnder 2.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Total Goals,Under 1.5,,3.2,220,,265,,,,230,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Total GoalsUnder 1.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,1st Half Total Goals,Under 1.5,,1.4,-250,,,,,,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 19611st Half Total GoalsUnder 1.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,1st Half Asian Total Goals,Under 1.25,,1.5,-200,,,,,,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 19611st Half Asian Total GoalsUnder 1.25,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,1st Half Total Goals,Under 1,,1.82,-122,,,,,,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 19611st Half Total GoalsUnder 1,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,1st Half Asian Total Goals,Under 0.75,,2.37,137,,,,,,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 19611st Half Asian Total GoalsUnder 0.75,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,1st Half Total Goals,Under 0.5,,2.85,185,,,,,,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 19611st Half Total GoalsUnder 0.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Team Total,HNK Rijeka Under 1.5,,2,100,,,,,115,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Team TotalHNK Rijeka Under 1.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Team Total,HNK Rijeka Under 0.5,,5.5,450,,,,,,,,,,,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Team TotalHNK Rijeka Under 0.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,1st Half Team Total,HNK Rijeka Under 0.5,,2.05,105,,,,,122,,,,,,,,,,,100,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 19611st Half Team TotalHNK Rijeka Under 0.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Goal Spread,NK Istra 1961 +1.5,1.5,1.45,-222,,-200,,,,-200,,,,,,,,,,200,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Goal SpreadNK Istra 1961 +1.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Asian Handicap,NK Istra 1961 +1.5,1.5,1.45,-222,,,,,,,,,,,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Asian HandicapNK Istra 1961 +1.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Asian Handicap,NK Istra 1961 +1.25,,1.63,-159,,,,,,,,,,,,,,,,200,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Asian HandicapNK Istra 1961 +1.25,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Goal Spread,NK Istra 1961 +1,,1.85,-118,,-113,,,,,,,,,,,,,,200,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Goal SpreadNK Istra 1961 +1,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Asian Handicap,NK Istra 1961 +1,,1.85,-118,,,,,,,,,,,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Asian HandicapNK Istra 1961 +1,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Asian Handicap,NK Istra 1961 +0.75,,2.16,116,,,,,,,,,,,,,,,,200,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Asian HandicapNK Istra 1961 +0.75,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Double Chance,NK Istra 1961 Or Draw,2.45,2.45,145,,150,165,,145,150,,,,135,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Double ChanceNK Istra 1961 Or Draw,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Goal Spread,NK Istra 1961 +0.5,2.45,2.45,145,,,,,145,,,,,140,,,,,,200,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Goal SpreadNK Istra 1961 +0.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-04-25,2002-09-25,Soccer,Croatia - 1. HNL,HNK Rijeka,NK Istra 1961,Asian Handicap,NK Istra 1961 +0.5,2.45,2.45,145,,,,,,,,,,145,,,,,,,,croatia_-_1_hnl:98306A91947C,SoccerCroatia - 1. HNLHNK RijekaNK Istra 1961,2025-02-09HNK RijekaNK Istra 1961Asian HandicapNK Istra 1961 +0.5,Croatia - 1. HNLHNK RijekaNK Istra 1961,,,0
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Total Goals,Under 2.5,1.72,1.72,-139,,,,,,,,,,,,,,,,100,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCTotal GoalsUnder 2.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Asian Total Goals,Under 2.5,1.72,1.72,-139,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCAsian Total GoalsUnder 2.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Total Goals,Under 2.25,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCTotal GoalsUnder 2.25,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Asian Total Goals,Under 2.25,,,,,,,,,,,,,,,,,,,250,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCAsian Total GoalsUnder 2.25,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Total Goals,Under 2.0,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCTotal GoalsUnder 2.0,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Asian Total Goals,Under 2.0,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCAsian Total GoalsUnder 2.0,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,250,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCTotal GoalsUnder 1.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,Asian Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FCAsian Total GoalsUnder 1.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,1st Half Total Goals,Under 0.5,,,,,,,,,,,,,,,,,,,150,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FC1st Half Total GoalsUnder 0.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,1st Half Asian Total Goals,Under 0.5,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FC1st Half Asian Total GoalsUnder 0.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,1st Half Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,150,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FC1st Half Total GoalsUnder 1.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,1st Half Asian Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FC1st Half Asian Total GoalsUnder 1.5,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,1st Half Total Goals,Under 0.75,,,,,,,,,,,,,,,,,,,,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FC1st Half Total GoalsUnder 0.75,Egypt - Premier LeagueSmouhaPyramids FC,,,1
A,2002-06-25,2002-07-25,Soccer,Egypt - Premier League,Smouha,Pyramids FC,1st Half Asian Total Goals,Under 0.75,,,,,,,,,,,,,,,,,,,100,,egypt_-_premier_league:8CE5163B666C,SoccerEgypt - Premier LeagueSmouhaPyramids FC,2025-02-07SmouhaPyramids FC1st Half Asian Total GoalsUnder 0.75,Egypt - Premier LeagueSmouhaPyramids FC,,,1
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,Total Goals,Over 2.5,,1.78,-128,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia BielefeldTotal GoalsOver 2.5,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,Asian Total Goals,Over 2.5,,1.78,-128,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia BielefeldAsian Total GoalsOver 2.5,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,Total Goals,Over 2.75,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia BielefeldTotal GoalsOver 2.75,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,Asian Total Goals,Over 2.75,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia BielefeldAsian Total GoalsOver 2.75,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,Total Goals,Over 3.5,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia BielefeldTotal GoalsOver 3.5,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,Asian Total Goals,Over 3.5,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia BielefeldAsian Total GoalsOver 3.5,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,1st Half Total Goals,Over 1.5,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia Bielefeld1st Half Total GoalsOver 1.5,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,1st Half Asian Total Goals,Over 1.5,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia Bielefeld1st Half Asian Total GoalsOver 1.5,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,1st Half Total Goals,Over 1,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia Bielefeld1st Half Total GoalsOver 1,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Germany - Bundesliga 3,SV Sandhausen,DSC Arminia Bielefeld,1st Half Asian Total Goals,Over 1,,,,,,,,,,,,,,,,,,,,,germany_-_bundesliga_3:73697BD987A5,SoccerGermany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,2025-02-07SV SandhausenDSC Arminia Bielefeld1st Half Asian Total GoalsOver 1,Germany - Bundesliga 3SV SandhausenDSC Arminia Bielefeld,,,0
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,Total Goals,Under 2.5,,1.94,-106,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol AméricaTotal GoalsUnder 2.5,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,Asian Total Goals,Under 2.5,,1.94,-106,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol AméricaAsian Total GoalsUnder 2.5,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol AméricaTotal GoalsUnder 1.5,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,Asian Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol AméricaAsian Total GoalsUnder 1.5,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,Total Goals,Under 1.5,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol AméricaTotal GoalsUnder 1.5,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,Asian Total Goals,,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol AméricaAsian Total Goals,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,1st Half Total Goals,,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol América1st Half Total Goals,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,1st Half Asian Total Goals,,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol América1st Half Asian Total Goals,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,1st Half Total Goals,loading...,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol América1st Half Total Goalsloading...,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,1st Half Asian Total Goals,,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol América1st Half Asian Total Goals,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,1st Half Total Goals,loading...,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol América1st Half Total Goalsloading...,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
Israel,2002-06-25,2002-07-25,Soccer,Mexico - Liga MX,Club Puebla,Club de Fútbol América,1st Half Asian Total Goals,,,,,,,,,,,,,,,,,,,,,,mexico_-_liga_mx:92C2DB786987,SoccerMexico - Liga MXClub PueblaClub de Fútbol América,2025-02-07Club PueblaClub de Fútbol América1st Half Asian Total Goals,Mexico - Liga MXClub PueblaClub de Fútbol América,,,1
