Grade,Selection_Date,Match_Date,Sport,League,Home_Team,Away_Team,Market,Selection,Pinnacle,Pinn_Limit,game_id
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa -1.25,263,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Goal Spread,CSyD Dorados de Sinaloa -1,220,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa -1,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa -0.75,148,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Moneyline,CSyD Dorados de Sinaloa,111,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Goal Spread,CSyD Dorados de Sinaloa -0.5,111,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa -0.5,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa -0.25,-121,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Goal Spread,CSyD Dorados de Sinaloa +0,-187,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa +0,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Draw No Bet,CSyD Dorados de Sinaloa,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa +0.25,-251,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Goal Spread,CSyD Dorados de Sinaloa +0.5,-321,$200 ,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Asian Handicap,CSyD Dorados de Sinaloa +0.5,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,Double Chance,CSyD Dorados de Sinaloa or Draw,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,,2/15/25,Soccer,Mexico - Liga de Expansion MX,CSyD Dorados de Sinaloa,Club Atlético Morelia,,none available,,,mexico_-_liga_de_expansion_mx:EDC6C08D9245
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Goal Spread,Falkirk FC -1,151,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Asian Handicap,Falkirk FC -1,,,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Asian Handicap,Falkirk FC -0.75,106,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Moneyline,Falkirk FC,-124,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Goal Spread,Falkirk FC -0.5,-123,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Asian Handicap,Falkirk FC -0.5,,,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Asian Handicap,Falkirk FC -0.25,-173,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Goal Spread,Falkirk FC +0,-283,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Asian Handicap,Falkirk FC +0,,,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Draw No Bet,Falkirk FC,,,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,Asian Handicap,Falkirk FC +0.25,-364,$200 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,1st Half Moneyline,Falkirk FC,135,$100 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,1st Half Asian Handicap,Falkirk FC -0.5,,,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Falkirk FC,Ayr United FC,1st Half Goal Spread,Falkirk FC -0.5,134,$100 ,scotland_-_championship:37911AB0582C
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Goal Spread,Raith Rovers FC -1,241,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC -1,,,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC -0.75,159,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Moneyline,Raith Rovers FC,118,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Goal Spread,Raith Rovers FC -0.5,118,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC -0.5,,,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC -0.25,-112,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Goal Spread,Raith Rovers FC +0,-171,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC +0,,,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Draw No Bet,Raith Rovers FC,,,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC +0.25,-232,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Goal Spread,Raith Rovers FC +0.5,-298,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC +0.5,,,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Double Chance,Raith Rovers FC or Draw,,,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Raith Rovers FC,Partick Thistle FC,Asian Handicap,Raith Rovers FC +0.75,-442,$200 ,scotland_-_championship:848831FAAE8B
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Moneyline,Airdrieonians FC,251,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Goal Spread,Airdrieonians FC -0.5,248,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC -0.5,,,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC -0.25,205,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Goal Spread,Airdrieonians FC +0,162,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC +0,,,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Draw No Bet,Airdrieonians FC,,,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC +0.25,108,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Goal Spread,Airdrieonians FC +0.5,-124,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC +0.5,,,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Double Chance,Airdrieonians FC Or Draw,,,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC +0.75,-168,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Goal Spread,Airdrieonians FC +1,-258,$200 ,scotland_-_championship:BAECB2297EE4
Delta-35,2002-11-25,2/15/25,Soccer,Scotland - Championship,Greenock Morton FC,Airdrieonians FC,Asian Handicap,Airdrieonians FC +1,,,scotland_-_championship:BAECB2297EE4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
